Time (UTC),Open,High,Low,Close,Volume 
2003.12.01 03:46:00,1.20203,1.20203,1.2015799999999999,1.2017,489.7
2003.12.01 03:47:00,1.202,1.20204,1.20171,1.2019799999999998,562.0
2003.12.01 03:48:00,1.20224,1.20231,1.20176,1.20176,730.2
2003.12.01 03:49:00,1.2021,1.20223,1.20186,1.20186,299.4
2003.12.01 03:50:00,1.202,1.20208,1.20191,1.20205,717.0
2003.12.01 03:51:00,1.2021,1.2021,1.20192,1.2019799999999998,310.4
2003.12.01 03:52:00,1.20195,1.20231,1.20191,1.2023,532.1
2003.12.01 03:53:00,1.2024,1.20242,1.20211,1.20211,441.3
2003.12.01 03:54:00,1.20233,1.20233,1.20203,1.20204,302.0
2003.12.01 03:55:00,1.2021700000000002,1.20242,1.20211,1.20224,402.9
2003.12.01 03:56:00,1.20212,1.20228,1.20197,1.20204,793.5
2003.12.01 03:57:00,1.20226,1.2023700000000002,1.20226,1.2023,275.0
2003.12.01 03:58:00,1.2020600000000001,1.2022,1.20199,1.2021600000000001,259.3
2003.12.01 03:59:00,1.20238,1.2025299999999999,1.20224,1.20224,847.8
2003.12.01 04:00:00,1.2023,1.20252,1.20211,1.20215,702.4
2003.12.01 04:01:00,1.20235,1.20245,1.20225,1.20235,481.0
2003.12.01 04:02:00,1.20231,1.20248,1.20208,1.20223,702.4
2003.12.01 04:03:00,1.20221,1.20231,1.20218,1.20225,504.0
2003.12.01 04:04:00,1.2021,1.20235,1.2020600000000001,1.20212,548.7
2003.12.01 04:05:00,1.2020899999999999,1.20233,1.20201,1.20214,1049.3
2003.12.01 04:06:00,1.20195,1.20223,1.2018799999999998,1.20211,534.4
2003.12.01 04:07:00,1.20201,1.2022,1.20191,1.20211,690.0
2003.12.01 04:08:00,1.20204,1.20223,1.2019799999999998,1.20208,483.3
2003.12.01 04:09:00,1.2021,1.20236,1.2019600000000001,1.20201,797.2
2003.12.01 04:10:00,1.20224,1.20236,1.20223,1.20234,818.6
2003.12.01 04:11:00,1.2022,1.20223,1.20207,1.20207,388.7
2003.12.01 04:12:00,1.20189,1.2019799999999998,1.20186,1.20195,220.2
2003.12.01 04:13:00,1.2019600000000001,1.2019799999999998,1.2019600000000001,1.2019799999999998,108.6
2003.12.01 04:14:00,1.20182,1.2021600000000001,1.20182,1.20212,664.4
2003.12.01 04:15:00,1.20223,1.20233,1.2021700000000002,1.20224,501.6
2003.12.01 04:16:00,1.2021,1.2021700000000002,1.20202,1.20212,496.8
2003.12.01 04:17:00,1.2020899999999999,1.2023,1.2020600000000001,1.2021700000000002,781.8
2003.12.01 04:18:00,1.20205,1.20225,1.20197,1.20202,383.9
2003.12.01 04:19:00,1.20204,1.20215,1.2019600000000001,1.20204,488.9
